iter	Passed	Remaining
0	1	169
1	4	216
2	6	194
3	7	186
4	10	196
5	12	200
6	15	207
7	18	218
8	21	220
9	24	220
10	27	219
11	29	217
12	33	222
13	37	228
14	40	227
15	43	228
16	46	226
17	50	230
18	53	230
19	58	233
20	60	228
21	63	225
22	66	223
23	69	218
24	71	214
25	74	211
26	75	204
27	77	198
28	81	198
29	83	194
30	86	193
31	89	189
32	91	186
33	94	183
34	96	179
35	98	174
36	100	170
37	102	167
38	103	162
39	106	159
40	113	163
41	114	158
42	117	155
43	119	152
44	121	148
45	123	145
46	125	140
47	125	136
48	126	131
49	129	129
50	131	125
51	132	122
52	134	119
53	136	115
54	136	112
55	139	109
56	140	106
57	141	102
58	142	99
59	143	95
60	144	92
61	145	89
62	146	86
63	148	83
64	149	80
65	150	77
66	151	74
67	152	71
68	154	69
69	155	66
70	156	63
71	157	61
72	158	58
73	159	55
74	160	53
75	162	51
76	163	48
77	163	46
78	164	43
79	165	41
80	166	38
81	167	36
82	168	34
83	170	32
84	171	30
85	172	28
86	172	25
87	173	23
88	175	21
89	177	19
90	178	17
91	179	15
92	180	13
93	181	11
94	182	9
95	184	7
96	185	5
97	186	3
98	186	1
99	187	0
