iter	Passed	Remaining
0	148	148279
1	149	74602
2	151	50350
3	154	38354
4	156	31110
5	157	26153
6	160	22799
7	162	20211
8	166	18311
9	169	16750
10	172	15494
11	175	14450
12	177	13489
13	180	12722
14	182	12001
15	183	11289
16	184	10663
17	188	10298
18	191	9890
19	195	9574
20	198	9243
21	202	8983
22	205	8729
23	207	8429
24	209	8179
25	211	7907
26	211	7629
27	214	7447
28	217	7292
29	219	7083
30	219	6865
31	221	6708
32	223	6562
33	226	6426
34	229	6313
35	231	6199
36	233	6068
37	235	5954
38	237	5849
39	239	5741
40	241	5638
41	243	5552
42	245	5457
43	247	5368
44	249	5284
45	252	5230
46	254	5154
47	255	5073
48	257	5003
49	258	4913
50	259	4821
51	260	4741
52	262	4688
53	264	4634
54	266	4579
55	268	4526
56	270	4482
57	272	4424
58	272	4353
59	273	4289
60	276	4251
61	278	4214
62	280	4177
63	282	4137
64	286	4123
65	288	4085
66	291	4062
67	293	4023
68	295	3982
69	296	3940
70	298	3907
71	300	3872
72	301	3833
73	303	3794
74	304	3759
75	306	3731
76	308	3694
77	309	3660
78	310	3625
79	312	3592
80	315	3577
81	317	3552
82	317	3512
83	319	3481
84	321	3457
85	322	3432
86	324	3402
87	325	3372
88	326	3342
89	327	3314
90	329	3288
91	330	3261
92	331	3234
93	332	3206
94	333	3179
95	335	3155
96	336	3135
97	338	3117
98	339	3093
99	340	3068
100	341	3043
101	343	3020
102	344	2999
103	345	2977
104	346	2954
105	347	2931
106	348	2908
107	349	2885
108	350	2864
109	351	2842
110	352	2822
111	353	2800
112	354	2779
113	354	2756
114	355	2736
115	356	2715
116	357	2695
117	358	2677
118	359	2659
119	360	2641
120	361	2623
121	361	2604
122	362	2587
123	364	2573
124	366	2567
125	368	2554
126	369	2539
127	370	2524
128	371	2508
129	372	2491
130	373	2477
131	374	2465
132	376	2452
133	377	2441
134	378	2427
135	379	2411
136	380	2398
137	381	2385
138	382	2370
139	383	2356
140	384	2341
141	384	2324
142	385	2310
143	386	2295
144	386	2281
145	387	2268
146	388	2255
147	389	2242
148	390	2229
149	391	2216
150	391	2202
151	392	2189
152	393	2176
153	393	2163
154	394	2150
155	395	2138
156	396	2127
